filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail
SAm-CentralAndes6.Villalba.2014.lpd,tree,measured,Trsgi,NA,1,T,Air
SAm-CentralAndes6.Villalba.2014.lpd,tree,measured,Trsgi,NA,1,T,Air
SAm-CentralAndes6.Villalba.2014.lpd,tree,measured,Trsgi,NA,1,T,Air
SAm-CentralAndes6.Villalba.2014.lpd,tree,measured,Trsgi,NA,1,T,Air
Asi-MONG012.Jacoby.2006.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Ocn-EasternTropicalNorthAtlantic.Kuhnert.2011.lpd,marine sediment,measured,Mg/Ca,NotApplicable,NA,NA,NA
MD982181.Khider.2014.lpd,marine sediment,measured,Depth_Cm,cm,NA,NA,NA
MD982181.Khider.2014.lpd,marine sediment,measured,Mg/Ca,mmol/mol,1,Temperature,Sea Surface
MD982181.Khider.2014.lpd,marine sediment,measured,D18O,per mil,1,D18Osw,Sea Surface
MD982181.Khider.2014.lpd,marine sediment,measured,D18O,per mil,2,Temperature,Sea Surface
Asi-PAKI007.Esper.2007.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Aus-CTPWestTasmania.Allen.2001.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Asi-ENEPAB.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Ocn-NorthEastBreakers_Bermuda.Kuhnert.2002.lpd,coral,measured,Sr Ca,mmol/mol,NA,NA,NA
Ocn-NorthEastBreakers_Bermuda.Kuhnert.2002.lpd,coral,measured,Sr/Ca,mmol/mol,NA,NA,NA
Asi-CHIN047.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
ODP1098B.Shevenell.2011.lpd,marine sediment,measured,Sample Label,NotApplicable,NA,NA,NA
ODP1098B.Shevenell.2011.lpd,marine sediment,measured,Depth,m,NA,NA,NA
ODP1098B.Shevenell.2011.lpd,marine sediment,measured,D18O,per mil,1,Temperature,Sea Surface
P178-15P.Tierney.2015.lpd,marine sediment,measured,Depth_Cm,cm,NA,NA,NA
