coordinates,publication,filename,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[123.5167, -10.2, -3]",iso2k1_0_0,CO14CATI.lpd,Coral,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,1
"[110.667, 19.308, -6]",iso2k1_0_0,CO17DESC01A.lpd,Coral,inferred,inferred seawater,D18O Seawater,Na,D18O,permil,1
"[110.662, 19.301, -6]",iso2k1_0_0,CO17DESC02A.lpd,Coral,inferred,inferred seawater,D18O Seawater,Na,D18O,permil,1
"[110.656, 19.287, -6]",iso2k1_0_0,CO17DESC03A.lpd,Coral,inferred,inferred seawater,D18O Seawater,Na,D18O,permil,1
"[110.692, 19.3198, -6]",iso2k1_0_0,CO17DESC04A.lpd,Coral,inferred,inferred seawater,D18O Seawater,Na,D18O,permil,1
"[-68.3998, 12.222, 0]",iso2k1_0_0,CO17WUBO1A.lpd,Coral,inferred,carbonate,NA,Na,Year,AD,NA
"[110.7531, 19.395]",iso2k1_0_0,CO17XISC01A.lpd,Coral,inferred,inferred seawater,D18O Seawater,Na,D18O,permil,1
"[-138.32, 65.21, 740]",iso2k1_0_0,GI19POYU.lpd,GroundIce,inferred,pore ice,NA,Na,temperature1,degC,1
"[-138.32, 65.21, 740]",iso2k1_0_0,GI19POYU.lpd,GroundIce,inferred,pore ice,NA,Na,uncertainty temperature1,degC,1
"[-138.32, 65.21, 740]",iso2k1_0_0,GI19POYU.lpd,GroundIce,inferred,pore ice,NA,Na,uncertainty temperature1,degC,1
"[-43.83, 65.1833]",iso2k1_0_0,IC10VIP1.lpd,GlacierIce,inferred,principle component analysis of  d18O of glacier ice,Precipitation Isotope,Air Surface,D18O,NA,1
"[-43.83, 65.1833]",iso2k1_0_0,IC10VIP1.lpd,GlacierIce,inferred,principle component (PC) analysis of  d18O of glacier ice,Precipitation Isotope,Air Surface,D18O,PC,1
"[-43.83, 65.1833]",iso2k1_0_0,IC10VIP2.lpd,GlacierIce,inferred,principle component analysis of  d18O of glacier ice,Precipitation Isotope,Air Surface,D18O,NA,1
"[-43.83, 65.1833]",iso2k1_0_0,IC10VIP2.lpd,GlacierIce,inferred,principle component (PC) analysis of  d18O of glacier ice,Precipitation Isotope,Air Surface,D18O,PC,1
"[-110.5999, 45, 1713]",iso2k1_0_0,LS08STCR.lpd,LakeSediment,inferred,NA,NA,NA,Age BP,AD,NA
"[-74.45, -41, -852]",iso2k1_0_0,MS02FLPC.lpd,MarineSediment,inferred,inferred seawater,NA,Sub Surface  30M ,D18O,permil,2
"[11.2217, -5.5883, 962]",iso2k1_0_0,MS05ESCR.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[-54.87, 43.48, -3975]",iso2k1_0_0,MS05LKLF.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Near Sea Surface,D18O,permil,2
"[-83.26, 24.33, -547]",iso2k1_0_0,MS06DLDS.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[-79.29, 24.76, -694]",iso2k1_0_0,MS06DLGN.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[-79.27, 24.59, -531]",iso2k1_0_0,MS06DLGS.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[9.38, 2.5, -1295]",iso2k1_0_0,MS07SWGG.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[119.2, -3.53, -503]",iso2k1_0_0,MS09DOIP.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[-17.82, 62.08, 1938]",iso2k1_0_0,MS09DTNA.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Na,D18O,permil,1
"[-17.82, 62.08, 1938]",iso2k1_0_0,MS09DTNA.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Na,D18O,permil,1
"[115.2, -7.4, -594]",iso2k1_0_0,MS10BLMS.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[117.48, -5.2, -1185]",iso2k1_0_0,MS11ANMS.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[-76.32, 32.98, -1205]",iso2k1_0_0,MS11CSCN.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[-76.28, 32.78, -1895]",iso2k1_0_0,MS11CSCS.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[-75.201, 34.973, -620]",iso2k1_0_0,MS12CCCH.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[74.9993, 10.98, -1245]",iso2k1_0_0,MS13RSAS.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Sea Surface,D18O,permil,2
"[120.917, -9.5948, -1250]",iso2k1_0_0,MS14GFSS.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Surface,D18O,permil,2
"[120.917, -9.5948, -1250]",iso2k1_0_0,MS14GFSS.lpd,MarineSediment,inferred,mean annual SSt from G. ruber Mg/Ca,NA,NA,Temperature,degC,NA
"[-48.7223, 57.5042, 3486]",iso2k1_0_0,MS14MOLS.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Surface,D18O,permil,2
"[-48.7223, 57.5042, 3486]",iso2k1_0_0,MS14MOLS.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Subsurface,D18O,permil,2
"[-19.536, 61.4817, 2303]",iso2k1_0_0,MS14MORR.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Base Of Thermocline,D18O,permil,2
"[-50.2427, -32.5052, -657]",iso2k1_0_0,MS15VIBC.lpd,MarineSediment,inferred,inferred seawater,D18O Seawater,Surface,D18O,permil,2
"[-50.2427, -32.5052, -657]",iso2k1_0_0,MS15VIBC.lpd,MarineSediment,inferred,Mg/Ca derived annual mean SST,NA,NA,Temperature,degC,NA
"[115.9, 39.8, 340]",iso2k1_0_0,SP98KUCN.lpd,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[81.93, 29.85, 3848]",iso2k1_0_0,TR11SAHU00.lpd,Wood,inferred,calendar year in AD,NA,NA,Year,AD,NA
"[90, 27.983, 3500]",iso2k1_0_0,TR13SAWA00.lpd,Wood,inferred,calendar year in AD,NA,NA,Year,AD,NA
"[77.2167, 32.2167, 2700]",iso2k1_0_0,TR17SAMA.lpd,Wood,inferred,calendar year AD,NA,NA,Year,AD,NA
"[85.183, 28.183, 3600]",iso2k1_0_0,TR18XUGA00.lpd,Wood,inferred,calendar year in AD,NA,NA,Year,AD,NA
"[79.85, 29.633, 3849]",iso2k1_0_0,TR18XUJA00.lpd,Wood,inferred,calendar year in AD,NA,NA,Year,AD,NA
"[-179.5216, 53.4, -1294.7]",PalMod1_0_1,323_U1340A.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[-47.35, 41.76, -4100]",PalMod1_0_1,CH69_K09.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[39.8408, -7.1383, -446]",PalMod1_0_1,GeoB12615_4.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[12.3767, -23.315, -1967]",PalMod1_0_1,GeoB1711_4.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[13.8348, -28.9937, -1997]",PalMod1_0_1,GeoB1720_2.lpd,marine sediment,inferred,sst_uk37,NA,NA,surface.temp,degC,NA
"[34.6817, 27.7135, -963]",PalMod1_0_1,GeoB5844_2.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[-17.948, 15.4983, -2384]",PalMod1_0_1,GeoB9508_5.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[-17.948, 15.4983, -2384]",PalMod1_0_1,GeoB9508_5.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[-17.948, 15.4983, -2384]",PalMod1_0_1,GeoB9508_5.lpd,marine sediment,inferred,T_cal_degC_Calculated_Groeneveld_and_Ch,NA,NA,surface.temp,degC,NA
"[-17.948, 15.4983, -2384]",PalMod1_0_1,GeoB9508_5.lpd,marine sediment,inferred,T_cal_degC_Calculated_Elderfield__and__Gans,NA,NA,surface.temp,degC,NA
"[-18.0567, 12.435, -3223]",PalMod1_0_1,GeoB9526_5.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[-26.5433, 44.36, -3050]",PalMod1_0_1,GIK15612_2.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-26.5433, 44.36, -3050]",PalMod1_0_1,GIK15612_2.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[-18.9867, 27.005, -3849]",PalMod1_0_1,GIK15637_1.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-18.9867, 27.005, -3849]",PalMod1_0_1,GIK15637_1.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[-26.725, 55.26, -3331]",PalMod1_0_1,GIK17049_6.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[-26.725, 55.26, -3331]",PalMod1_0_1,GIK17049_6.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-31.99, 56.1633, -2295]",PalMod1_0_1,GIK17051_3.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[-31.99, 56.1633, -2295]",PalMod1_0_1,GIK17051_3.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[117.3833, 20.1167, -1727]",PalMod1_0_1,GIK17940_2.lpd,marine sediment,inferred,SST_degC_Calculated_from_UK37_Pelejer,NA,NA,surface.temp,degC,NA
"[117.3833, 20.1167, -1727]",PalMod1_0_1,GIK17940_2.lpd,marine sediment,inferred,SST_degC_Calculated_from_UK'37_Müller,NA,NA,surface.temp,degC,NA
"[112.3317, 8.5067, -1795]",PalMod1_0_1,GIK17961_2.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[112.3317, 8.5067, -1795]",PalMod1_0_1,GIK17961_2.lpd,marine sediment,inferred,SST_degC_Calculated_from_UK37_Pelejer,NA,NA,surface.temp,degC,NA
"[112.3317, 8.5067, -1795]",PalMod1_0_1,GIK17961_2.lpd,marine sediment,inferred,SST_degC_Calculated_from_UK'37_Müller,NA,NA,surface.temp,degC,NA
"[129.983, -9.3665, -485]",PalMod1_0_1,GIK18471_1.lpd,marine sediment,inferred,BWT_degC,NA,NA,deep.temp,degC,NA
"[129.983, -9.3665, -485]",PalMod1_0_1,GIK18471_1.lpd,marine sediment,inferred,SST_degC,NA,NA,surface.temp,degC,NA
"[13.9685, 74.9981, -1768]",PalMod1_0_1,GIK23258_2.lpd,marine sediment,inferred,SST_1_12_degC_summer,NA,NA,surface.temp,degC,NA
"[13.9685, 74.9981, -1768]",PalMod1_0_1,GIK23258_2.lpd,marine sediment,inferred,SST_1_12_degC_winter,NA,NA,surface.temp,degC,NA
"[13.9685, 74.9981, -1768]",PalMod1_0_1,GIK23258_2.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[13.9685, 74.9981, -1768]",PalMod1_0_1,GIK23258_2.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[13.9685, 74.9981, -1768]",PalMod1_0_1,GIK23258_2.lpd,marine sediment,inferred,SST (1-12) [¬∞C],NA,NA,surface.temp,degC,NA
"[-19.145, 53.1783, -2472]",PalMod1_0_1,GIK23415_9.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[177.4392, -36.9225, -2045]",PalMod1_0_1,H214.lpd,marine sediment,inferred,sst_cold_mat,NA,NA,surface.temp,degC,NA
"[177.4392, -36.9225, -2045]",PalMod1_0_1,H214.lpd,marine sediment,inferred,sst_cold_mat_err,NA,NA,surface.temp.error,degC,NA
"[177.4392, -36.9225, -2045]",PalMod1_0_1,H214.lpd,marine sediment,inferred,sst_warm_mat,NA,NA,surface.temp,degC,NA
"[177.4392, -36.9225, -2045]",PalMod1_0_1,H214.lpd,marine sediment,inferred,sst_warm_mat_err,NA,NA,surface.temp.error,degC,NA
"[-45.688, 50.208, -3448]",PalMod1_0_1,HU91_045_093.lpd,marine sediment,inferred,G_bulloides_temp,NA,NA,surface.temp,degC,NA
"[-46.4703, -27.2848, -1268]",PalMod1_0_1,KNR159_36.lpd,marine sediment,inferred,sst_mg_ca,NA,NA,surface.temp,degC,NA
"[152.8779, 49.3757, -1762]",PalMod1_0_1,LV29_114_3.lpd,marine sediment,inferred,SST_7_9_degC_Calculated_from_UK'37_Prahl,NA,NA,surface.temp,degC,NA
"[152.8779, 49.3757, -1762]",PalMod1_0_1,LV29_114_3.lpd,marine sediment,inferred,SST_7_9_degC_Calculated_from_UK'37_Müller,NA,NA,surface.temp,degC,NA
"[152.8779, 49.3757, -1762]",PalMod1_0_1,LV29_114_3.lpd,marine sediment,inferred,SST_7_9_degC_Calculated_from_UK37_Sikes_e,NA,NA,surface.temp,degC,NA
"[152.8779, 49.3757, -1762]",PalMod1_0_1,LV29_114_3.lpd,marine sediment,inferred,SST_7_9_degC,NA,NA,surface.temp,degC,NA
"[-61.2437, 12.0897, -1299]",PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,sst_uk37,NA,NA,surface.temp,degC,NA
"[-61.2437, 12.0897, -1299]",PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[-61.2437, 12.0897, -1299]",PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-61.2437, 12.0897, -1299]",PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,SST_Tc_degC,NA,NA,surface.temp,degC,NA
"[-61.2437, 12.0897, -1299]",PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,SST_Tw_degC,NA,NA,surface.temp,degC,NA
"[-61.2437, 12.0897, -1299]",PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-61.2437, 12.0897, -1299]",PalMod1_0_1,M35003_4.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[-81.1247, -3.7498, -355]",PalMod1_0_1,M77_2_056_5.lpd,marine sediment,inferred,SST_degC,NA,NA,surface.temp,degC,NA
"[-81.1247, -3.7498, -355]",PalMod1_0_1,M77_2_056_5.lpd,marine sediment,inferred,SubT_degC,NA,NA,surface.temp,degC,NA
"[-81.3205, -3.9502, -997]",PalMod1_0_1,M77_2_059_1.lpd,marine sediment,inferred,SST_degC_Calculated_from_Mg_Ca_ratios,NA,NA,surface.temp,degC,NA
"[-81.3205, -3.9502, -997]",PalMod1_0_1,M77_2_059_1.lpd,marine sediment,inferred,SubT_degC,NA,NA,surface.temp,degC,NA
"[-81.3205, -3.9502, -997]",PalMod1_0_1,M77_2_059_1.lpd,marine sediment,inferred,SST_degC_Calculated_from_UK'37_Prahl,NA,NA,surface.temp,degC,NA
"[121.788, -13.0825, -1783]",PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,TT_degC,NA,NA,surface.temp,degC,NA
"[121.788, -13.0825, -1783]",PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[121.788, -13.0825, -1783]",PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,TT_degC,NA,NA,surface.temp,degC,NA
"[121.788, -13.0825, -1783]",PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[121.788, -13.0825, -1783]",PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[121.788, -13.0825, -1783]",PalMod1_0_1,MD01_2378.lpd,marine sediment,inferred,TT_degC,NA,NA,surface.temp,degC,NA
"[167.725, 51.268, -2317]",PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[167.725, 51.268, -2317]",PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,SST_sum_std_dev_plus_minus,NA,NA,surface.temp.error,degC,NA
"[167.725, 51.268, -2317]",PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[167.725, 51.268, -2317]",PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[167.725, 51.268, -2317]",PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,SST (1-12) [¬∞C],NA,NA,surface.temp,degC,NA
"[167.725, 51.268, -2317]",PalMod1_0_1,MD01_2416.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-148.9213, 54.3907, -3640]",PalMod1_0_1,MD02_2489.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-87.1188, 29.0017, -847]",PalMod1_0_1,MD02_2575.lpd,marine sediment,inferred,sst_mg_ca,NA,NA,surface.temp,degC,NA
"[126.4977, 6.5143, -1575]",PalMod1_0_1,MD06_3067.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[126.4977, 6.5143, -1575]",PalMod1_0_1,MD06_3067.lpd,marine sediment,inferred,TT_degC,NA,NA,surface.temp,degC,NA
"[125.832, 6.4762, -1878]",PalMod1_0_1,MD06_3075.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[-14.2282, -44.1533, -3770]",PalMod1_0_1,MD07_3076.lpd,marine sediment,inferred,BWT [¬∞C],NA,NA,deep.temp,degC,NA
"[51.1984, -43.5118, -3284]",PalMod1_0_1,MD73_025.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[51.1984, -43.5118, -3284]",PalMod1_0_1,MD73_025.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[96.4614, -46.0214, -3290]",PalMod1_0_1,MD88_770.lpd,marine sediment,inferred,SST_sum_degC_Transfer_function_Imbrie__and__K,NA,NA,surface.temp,degC,NA
"[-45.69, 50.21, -3448]",PalMod1_0_1,MD95_2024.lpd,marine sediment,inferred,G. bulloides_temp,NA,NA,surface.temp,degC,NA
"[-10.3485, 40.5785, -3381]",PalMod1_0_1,MD95_2039.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-9.8612, 40.5818, -2465]",PalMod1_0_1,MD95_2040.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-9.8612, 40.5818, -2465]",PalMod1_0_1,MD95_2040.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[-9.8612, 40.5818, -2465]",PalMod1_0_1,MD95_2040.lpd,marine sediment,inferred,CaCO3_percent,NA,NA,CaCO3,percent,NA
"[-2.6212, 36.1433, -1841]",PalMod1_0_1,MD95_2043.lpd,marine sediment,inferred,DWT_degC,NA,NA,deep.temp,degC,NA
"[-2.6212, 36.1433, -1841]",PalMod1_0_1,MD95_2043.lpd,marine sediment,inferred,sst_uk37,NA,NA,surface.temp,degC,NA
"[174.9308, -45.5344, -1210]",PalMod1_0_1,MD97_2120.lpd,marine sediment,inferred,sst_uk37_p,NA,NA,surface.temp,degC,NA
"[174.9308, -45.5344, -1210]",PalMod1_0_1,MD97_2120.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[125.8274, 6.3, -2114]",PalMod1_0_1,MD98_2181.lpd,marine sediment,inferred,sst_mg_ca_rub_w_A,NA,NA,surface.temp,degC,NA
"[125.8274, 6.3, -2114]",PalMod1_0_1,MD98_2181.lpd,marine sediment,inferred,sst_g_rub_mg_ca,NA,NA,surface.temp,degC,NA
"[125.8274, 6.3, -2114]",PalMod1_0_1,MD98_2181.lpd,marine sediment,inferred,sst_g_sac_mg_ca,NA,NA,surface.temp,degC,NA
"[-7.5278, 35.8855, -1177]",PalMod1_0_1,MD99_2339.lpd,marine sediment,inferred,SST_1_3_degC,NA,NA,surface.temp,degC,NA
"[-7.5278, 35.8855, -1177]",PalMod1_0_1,MD99_2339.lpd,marine sediment,inferred,SST_7_9_degC,NA,NA,surface.temp,degC,NA
"[6.7672, 78.9157, -1491]",PalMod1_0_1,MSM05_5_712_1.lpd,marine sediment,inferred,SST_sum_degC_calculated__SIMMAX_at_50_m,NA,NA,surface.temp,degC,NA
"[6.7672, 78.9157, -1491]",PalMod1_0_1,MSM05_5_712_1.lpd,marine sediment,inferred,SST_sum_degC_calculated_from_Mg_Ca_data_of,NA,NA,surface.temp,degC,NA
"[5.3378, 79.161, -1351]",PalMod1_0_1,MSM05_5_723_2.lpd,marine sediment,inferred,SST,NA,NA,surface.temp,degC,NA
"[-14.5833, 55.5, -2161]",PalMod1_0_1,NA87_22.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[-14.5833, 55.5, -2161]",PalMod1_0_1,NA87_22.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[117.6333, 19.5833, -3175]",PalMod1_0_1,ODP1145.lpd,marine sediment,inferred,sst_mg_ca,NA,NA,surface.temp,degC,NA
"[-90.8183, -3.095, -3296]",PalMod1_0_1,ODP846.lpd,marine sediment,inferred,sst_uk37,NA,NA,surface.temp,degC,NA
"[-14.7017, 55.485, -2168]",PalMod1_0_1,ODP980.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[-14.7017, 55.485, -2168]",PalMod1_0_1,ODP980.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-24.0819, 61.4253, -1648]",PalMod1_0_1,ODP984C.lpd,marine sediment,inferred,sst,NA,NA,surface.temp,degC,NA
"[-178.49, -42.53, -1408]",PalMod1_0_1,R657.lpd,marine sediment,inferred,sst-aug,NA,NA,surface.temp,degC,NA
"[-178.49, -42.53, -1408]",PalMod1_0_1,R657.lpd,marine sediment,inferred,sst-feb,NA,NA,surface.temp,degC,NA
"[-178.49, -42.53, -1408]",PalMod1_0_1,R657.lpd,marine sediment,inferred,sst-warm.uk37,NA,NA,surface.temp,degC,NA
"[-17.134, 62.293, -2133]",PalMod1_0_1,RAPiD_15_4P.lpd,marine sediment,inferred,sst-Mg/Ca-g.bull,NA,NA,surface.temp,degC,NA
"[-17.134, 62.293, -2133]",PalMod1_0_1,RAPiD_15_4P.lpd,marine sediment,inferred,sst-Mg/Ca-g.infla,NA,NA,surface.temp,degC,NA
"[-17.134, 62.293, -2133]",PalMod1_0_1,RAPiD_15_4P.lpd,marine sediment,inferred,sst-Mg/Ca-n.pachy-l,NA,NA,surface.temp,degC,NA
"[146.2833, -45.15, -3300]",PalMod1_0_1,RS147_GC07.lpd,marine sediment,inferred,SST_1_12_degC_Calculated_from_UK'37_Prahl,NA,NA,surface.temp,degC,NA
"[146.2833, -45.15, -3300]",PalMod1_0_1,RS147_GC07.lpd,marine sediment,inferred,SST_1_12_degC_Modern_analog_technique_MAT,NA,NA,surface.temp,degC,NA
"[-80.889, 24.0807, -954]",PalMod1_0_1,SO164_17_2.lpd,marine sediment,inferred,SST_degC,NA,NA,surface.temp,degC,NA
"[-80.889, 24.0807, -954]",PalMod1_0_1,SO164_17_2.lpd,marine sediment,inferred,T_cal_degC,NA,NA,surface.temp,degC,NA
"[162.3758, 53.9927, -2173]",PalMod1_0_1,SO201_2_12KL.lpd,marine sediment,inferred,SST_7_9_degC_Calculated_from_UK'37_Prahl,NA,NA,surface.temp,degC,NA
"[162.3758, 53.9927, -2173]",PalMod1_0_1,SO201_2_12KL.lpd,marine sediment,inferred,SST_7_9_degC_Calculated_from_UK'37_Müller,NA,NA,surface.temp,degC,NA
"[162.3758, 53.9927, -2173]",PalMod1_0_1,SO201_2_12KL.lpd,marine sediment,inferred,SST_7_9_degC_Calculated_from_UK37_Sikes_e,NA,NA,surface.temp,degC,NA
"[162.3758, 53.9927, -2173]",PalMod1_0_1,SO201_2_12KL.lpd,marine sediment,inferred,SST_7_9_degC,NA,NA,surface.temp,degC,NA
"[170.4132, 57.505, -975]",PalMod1_0_1,SO201_2_85.lpd,marine sediment,inferred,SST_7_9_degC_Calculated_from_UK'37_Prahl,NA,NA,surface.temp,degC,NA
"[170.4132, 57.505, -975]",PalMod1_0_1,SO201_2_85.lpd,marine sediment,inferred,SST_7_9_degC,NA,NA,surface.temp,degC,NA
"[-116.8794, -45.8289, -3161]",PalMod1_0_1,SO213_2_59_2.lpd,marine sediment,inferred,surface.temp_calculated,NA,NA,surface.temp,degC,NA
"[-116.8794, -45.8289, -3161]",PalMod1_0_1,SO213_2_59_2.lpd,marine sediment,inferred,surface.temp_calculated,NA,NA,surface.temp,degC,NA
"[-116.8794, -45.8289, -3161]",PalMod1_0_1,SO213_2_59_2.lpd,marine sediment,inferred,surface.temp_calculated,NA,NA,surface.temp,degC,NA
"[57.347, 14.321, -3212]",PalMod1_0_1,SO42_74KL.lpd,marine sediment,inferred,SST_1_12_degC,NA,NA,surface.temp,degC,NA
"[57.347, 14.321, -3212]",PalMod1_0_1,SO42_74KL.lpd,marine sediment,inferred,SST_win_degC,NA,NA,surface.temp,degC,NA
"[57.347, 14.321, -3212]",PalMod1_0_1,SO42_74KL.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-30.9048, 59.1862, -1416]",PalMod1_0_1,SO82_5_2.lpd,marine sediment,inferred,SST_sum_degC,NA,NA,surface.temp,degC,NA
"[-10.18, 37.77, -3135]",PalMod1_0_1,SU81_18.lpd,marine sediment,inferred,sst-aug,NA,NA,surface.temp,degC,NA
"[-10.18, 37.77, -3135]",PalMod1_0_1,SU81_18.lpd,marine sediment,inferred,sst-aug_err,NA,NA,surface.temp.error,degC,NA
"[-10.18, 37.77, -3135]",PalMod1_0_1,SU81_18.lpd,marine sediment,inferred,SST (1-12) [¬∞C] (Calculated from UK'37 (Prahl ...),NA,NA,surface.temp,degC,NA
"[-10.18, 37.77, -3135]",PalMod1_0_1,SU81_18.lpd,marine sediment,inferred,SST win [¬∞C],NA,NA,surface.temp,degC,NA
"[-10.18, 37.77, -3135]",PalMod1_0_1,SU81_18.lpd,marine sediment,inferred,SST sum [¬∞C],NA,NA,surface.temp,degC,NA
"[-92.3988, 0.5157, -2830]",PalMod1_0_1,TR163_22.lpd,marine sediment,inferred,sst_mg_ca,NA,NA,surface.temp,degC,NA
"[-82.0692, -0.4669, -1373]",PalMod1_0_1,V19_27.lpd,marine sediment,inferred,DBD_g_cm3,NA,NA,DBD,g/cm3,NA
"[-33.4802, 1.367, -3824]",PalMod1_0_1,V25_59.lpd,marine sediment,inferred,sst_aug,NA,NA,surface.temp,degC,NA
"[-33.4802, 1.367, -3824]",PalMod1_0_1,V25_59.lpd,marine sediment,inferred,sst_aug_err,NA,NA,surface.temp.error,degC,NA
"[-33.4802, 1.367, -3824]",PalMod1_0_1,V25_59.lpd,marine sediment,inferred,sst_feb,NA,NA,surface.temp,degC,NA
"[-33.4802, 1.367, -3824]",PalMod1_0_1,V25_59.lpd,marine sediment,inferred,sst_feb_err,NA,NA,surface.temp.error,degC,NA
