coordinates,publication,filename,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[-91.5, 45.3, 330]",PAGES2kv2,NAm-LittlePineLake.Gajewski.1988.lpd,lake sediment,inferred,Mean temperature of the warmest month,NA,Air Surface,Temperature,degC,1
"[-91.5, 45.3, 335]",PAGES2kv2,NAm-RubyLake.Gajewski.1988.lpd,lake sediment,inferred,Mean temperature of the warmest month,NA,Air Surface,Temperature,degC,1
"[-4.7496, 35.986, -1022]",PAGES2kv2,Ocn-AlboranSea384B.Nieto-Moreno.2013.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-4.3133, 36.2053, -1108]",PAGES2kv2,Ocn-AlboranSea436B.Nieto-Moreno.2013.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[65.92, 24.83, -695]",PAGES2kv2,Ocn-ArabianSea.Doose-Rolinski.2001.lpd,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[-10.2685, 30.85, -900]",PAGES2kv2,Ocn-CapeGhir.Doose-Rolinski.2007.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-10.0983, 30.845, -355]",PAGES2kv2,Ocn-CapeGhir.McGregor.2007.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-75.201, 34.973, -620]",PAGES2kv2,Ocn-CapeHatteras.Cleroux.2008.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-64.77, 10.77, -450]",PAGES2kv2,Ocn-CariacoBasin.Black.2007.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-64.94, 10.7, -790]",PAGES2kv2,Ocn-CariacoBasin.Lea.2003.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-76.276, 32.784, -1895]",PAGES2kv2,Ocn-CH07-98-MC-22.Saenger.2011.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-74.45, -41, -852]",PAGES2kv2,Ocn-ChileanMargin.Lamy.2002.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-83.58, 24.59, -530]",PAGES2kv2,Ocn-DryTortugas.Lund.2006.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-83.26, 24.33, -547]",PAGES2kv2,Ocn-DryTortugasA.Lund.2006.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-16.7327, 16.8402, -330]",PAGES2kv2,Ocn-EasternTropicalNorthAtlantic.Kuhnert.2011.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-62.8, 45.89, -250]",PAGES2kv2,Ocn-EmeraldBasin.Keigwin.2003.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-62.48, 43.53, -250]",PAGES2kv2,Ocn-EmeraldBasin.Keigwin.2007.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-13.9, 55.5, -2543]",PAGES2kv2,Ocn-FeniDrift.Richter.2009.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-93.93, 27.55, -817]",PAGES2kv2,Ocn-FiskBasin.Richey.2009.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-93.93, 26.68, -1570]",PAGES2kv2,Ocn-GarrisonBasin.Richey.2009.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-79.29, 24.765, -694]",PAGES2kv2,Ocn-GreatBahamaBank.Lund.2006.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
