filename,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Asi-CHIN016.Li.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN017.Li.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN018.Li.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN019.Li.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN020.Li.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN021.Li.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN026.Wright.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN029.Krusic.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN037.Fan.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN038.Fan.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN039.Fan.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN040.Fan.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN041.Fan.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN042.Brauning.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN043.Brauning.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN044.Brauning.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN045.Brauning.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN046.Brauning.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN047.Brauning.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN048.Brauning.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN049.Brauning.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN050.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN051.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN052.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN053.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN054.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN055.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN056.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN057.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN058.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN059.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN060.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN061.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN062.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN063.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN064.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN065.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-CHIN066.Shao.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-Dasuopu.Thompson.2000.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Asi-Dasuopu.Thompson.2000.lpd,glacier ice,Dust,permil,NA,NA,NA,NA
Asi-Dasuopu.Thompson.2000.lpd,glacier ice,Chloride,ppb,NA,NA,NA,NA
Asi-Dasuopu.Thompson.2000.lpd,glacier ice,Nitrate,ppb,NA,NA,NA,NA
Asi-Dasuopu.Thompson.2000.lpd,glacier ice,Sulfate,ppb,NA,NA,NA,NA
Asi-DEZQIN.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-DQHZHO.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-DUSHJP.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-ENEPAB.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-ESPERG.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-ESPPAK.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-GANGCD.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-GHEGAN.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-GOUQIN.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-Guliya.Thompson.1997.lpd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Asi-Guliya.Thompson.1997.lpd,glacier ice,Dust,count/mL,NA,NA,NA,NA
Asi-Guliya.Thompson.1997.lpd,glacier ice,Chloride,ppb,NA,NA,NA,NA
Asi-Guliya.Thompson.1997.lpd,glacier ice,Sulfate,ppb,NA,NA,NA,NA
Asi-Guliya.Thompson.1997.lpd,glacier ice,Nitrate,ppb,NA,NA,NA,NA
Asi-HBHXJP.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-HBLXJP.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-HBMXJP.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-HEBQIN.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-HRPCSM.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-Hushre.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-HXBURU.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-HYGJUP.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-INDI015.Borgaonkar.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-INDI024.Borgaonkar.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-INDI025.Borgaonkar.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-INDO005.DArrigo.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-JAPA012.Yasue.1997.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-JAPA013.Yasue.1997.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-JAPA014.Yasue.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-JAPA015.Yasue.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-JAPA016.Yasue.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-JAPA017.Yasue.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-JAPA019.Sano.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-JAPA020.Kimura.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KAZ001.Solomina.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KERALA.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KunashirIsland.Demezhko.2009.lpd,hybrid,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
Asi-KYRG002.Esper.2007.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG003.Esper.2007.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG004.Esper.2007.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG005.Esper.2007.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG007.Esper.2007.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG008.Shiyatov.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG009.Shiyatov.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG010.Shiyatov.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG011.Shiyatov.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG012.Solomina.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG013.Solomina.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG014.Solomina.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-KYRG015.Solomina.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-LAJQIN.PAGES2k.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MCCHFH.Sano.2008.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG002.Jacoby.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG004.Jacoby.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG006.Jacoby.2006.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG007.Schweingruber.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG009.Jacoby.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG010.Jacoby.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG011.Jacoby.2006.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG012.Jacoby.2006.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG014.Jacoby.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG015.Jacoby.2013.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG016.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG017.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG018.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG019.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG020.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG021.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG024.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG025.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG026.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG027.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG028.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG029.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG030.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG031.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG032.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Asi-MONG033.Jacoby.2010.lpd,tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
