filename,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
IC92HOML.lpd,GlacierIce,D18O,permil,NA,NA,NA,NA
IC92HOML.lpd,GlacierIce,D18O,permil,Precipitation Isotope,NA,NA,NA
IC93BAGI.lpd,GlacierIce,Dd,permil,NA,Air Surface,NA,NA
IC93BAGI.lpd,GlacierIce,Dd,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC94THDP.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC94THDP.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC95FI87.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC95FI87.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC95THHU.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC95THHU.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC95THHU.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC95THHU.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC95THHU.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC95THHU.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC95THHU.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC95THHU.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC96ISE9.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC96ISE9.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC96MOSS.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC96MOSS.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC97GRGI.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC97GRGI.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC97THGL.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC97THGL.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC98FIPE.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC98FIPE.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC98THSA.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC98THSA.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99IS89.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99IS89.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99ISS2.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99ISS2.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99OE01.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99OE01.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99OE02.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99OE02.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99OE03.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99OE03.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99OE04.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99OE04.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99OE05.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99OE05.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99OE06.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99OE06.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99OE07.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99OE07.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99OE08.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99OE08.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99OE09.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99OE09.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99OE10.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99OE10.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99SCFH.lpd,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
IC99SCFH.lpd,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IC99SCFH.lpd,GlacierIce,NA,cm,NA,NA,NA,NA
IW15MELD.lpd,GroundIce,D18O,permil,NA,Air Surface,NA,NA
IW15MELD.lpd,GroundIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
IW17OPOY.lpd,GroundIce,D18O,permil,NA,Air Surface,NA,NA
IW17OPOY.lpd,GroundIce,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
LS00SEJU.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS00WODE.lpd,LakeSediment,D18O,permil,NA,Air Surface,NA,NA
LS00WODE.lpd,LakeSediment,D18O,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
LS00WODE.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS00WODE.lpd,LakeSediment,D18O,permil,NA,Air Surface,NA,NA
LS00WODE.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS01HOCH.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS01HOCH.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS01HOCH.lpd,LakeSediment,D18O,permil,Water Temperature,Lake Water,Lake Water Temperature,NA
LS01HOCH.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS01HUFA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS01HUFA.lpd,LakeSediment,D18O,permil,NA,Lake Water,NA,NA
LS01HUFA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS01HUFA.lpd,LakeSediment,D18O,permil,D18O Of Precipitation,Lake Water,Precipitation D18O,NA
LS02BEPY.lpd,LakeSediment,D18O,permil,NA,Lake Water,NA,NA
LS02BEPY.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS02BEPY.lpd,LakeSediment,NA,m,NA,NA,NA,NA
LS02ROSA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS02ROSA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS02ROSA.lpd,LakeSediment,D18O,permil,NA,Lake Water,NA,NA
LS03HAIG.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS03HAIG.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS03HAIG.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS03RUED.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS03RUED.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS03RUED.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS03RUED.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS04JOCH.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS04JOCH.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS04YUWA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS04YUWA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS04YUWA.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS05ANJE.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS05ANJE.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS05ANJE.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS05ANJE.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS05HOAG.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS05HOAG.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS05HOAG.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS05HOAG.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS05HOAG.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS06CRLA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS06CRLA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS06CRLA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS06DENA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS06DENA.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS06JONA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS06JONA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS06JONA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS06JONA.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS06JONA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS06MIBO.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS06MIBO.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS06MIBO.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS06POVE.lpd,LakeSediment,D18O,permil,D18O Of Precipitation,NA,NA,NA
LS06POVE.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS06POVE.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS06POVE.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS06SHBE.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS06SHBE.lpd,LakeSediment,Dd,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
LS06SHBE.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS06SHBE.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS06SHBE.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS06STFO.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS06STFO.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS06TIST.lpd,LakeSediment,D18O,permil,Pacific Decadal Oscillation,Lake Water,Pacific Decadal Oscillation,NA
LS06TIST.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS07ANMA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS07ANMA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS07ANMA.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS07ANMA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS07EAGO.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS07EAGO.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS07EAGO.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS07LAHA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS07LAHA.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS07LAHA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS07ROTI.lpd,LakeSediment,D18O,permil,Source Region,NA,NA,NA
LS07ROTI.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS07ROTI.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS07ROTI.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS07ROTI.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS08LICA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS08LICA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS08LICA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS08STCR.lpd,LakeSediment,D18O,permil,NA,Lake Water,NA,NA
LS08STCR.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS08STCR.lpd,LakeSediment,D18O,permil,Precipitation Isotope,Lake Water,Precipitation Isotope,NA
LS08STCR.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS09BAUM.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS09BAUM.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS09BAUM.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS09BAUM.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS09LACA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS09LACA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS09LACA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS09LAEL.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS09LAEL.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS09LAEL.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS09MAAS.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS09MAAS.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS09MAAS.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS09MAZO.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS09MAZO.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS09MAZO.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS09MIKU.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS09MIKU.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS09RUWA.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,NA,NA,NA
LS09RUWA.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS09RUWA.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,NA,NA,NA
LS09RUWA.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS09RUWA.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS09RUWA.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS09RUWA.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS09SAJU.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS09SAJU.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS09SASP.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS09SASP.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS09SASP.lpd,LakeSediment,Dd,permil,Precipitation Amount,Air Surface,Precipitation Amount,NA
LS09SASP.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS09SASP.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS09SAWA.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS09SAWA.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS09SAWA.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS09SAWA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS09SCMI.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS09SCMI.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS09SCMI.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS09SCMI.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS09SCMI.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS09SHJO.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Groundwater,Precipitation And Evaporation,NA
LS09SHJO.lpd,LakeSediment,D18O,permil,NA,Groundwater,NA,NA
LS10ANBL.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10ANBL.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10ANBL.lpd,LakeSediment,D18O,permil,Air Temperature,NA,NA,NA
LS10CLTA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10CLTA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS10CLTA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS10CLTA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10CLTA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS10GOBL.lpd,LakeSediment,D18O,permil,NA,Lake Water,NA,NA
LS10GOBL.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS10GOBL.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS10HEQI.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS10HEQI.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS10HEQI.lpd,LakeSediment,D18O,permil,Precipitation Isotope,Lake Water,Precipitation Isotope,NA
LS10HEQI.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS10HESA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10HESA.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS10HOLO.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10HOLO.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS10HOLO.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS10STSP.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10STSP.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS10STSP.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS10WRNA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10WRNA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10WRNA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS10ZHHU.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10ZHHU.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS10ZHHU.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS11ANSE.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS11ANSE.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS11ANSE.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS11BACH.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS11BACH.lpd,LakeSediment,D18O,permil,Air Temperature,NA,NA,NA
LS11BIPU.lpd,LakeSediment,D18O,permil,D18O Of Precipitation,NA,NA,NA
LS11BIPU.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS11BIPU.lpd,LakeSediment,D18O,permil,Lake Temperature,NA,NA,NA
LS11BIPU.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS11KOMA.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS11KOMA.lpd,LakeSediment,Dd,permil,Precipitation Isotope,NA,NA,NA
LS11KOMA.lpd,LakeSediment,Dd,permil,Precipitation Amount,NA,NA,NA
LS11KOMA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS11MOES.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS11MOES.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS11MOES.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS11NECA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS11NECA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS11NECA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS11RYKA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS11RYKA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS11RYKA.lpd,LakeSediment,D18O,permil,Lake Temperature,NA,NA,NA
LS11RYKA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS11TICH.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS11TICH.lpd,LakeSediment,Dd,permil,Precipitation Isotope,NA,NA,NA
LS11TICH.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS12ANBI.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS12ANBI.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS12ANBI.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS12ANYE.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS12ANYE.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS12ANYE.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS12ANYE.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS12GOBA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS12GOBA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS12GOBA.lpd,LakeSediment,D18O,permil,NA,Lake Water,NA,NA
LS12KENO.lpd,LakeSediment,D18O,permil,NA,Lake Water,NA,NA
LS12KENO.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,Lake Water,Precipitation And Evaporation,NA
LS12STLI.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS12STLI.lpd,LakeSediment,D18O,permil,Precipitation Isotope,NA,NA,NA
LS12STRE.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS12STRE.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS12THAY.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS12THAY.lpd,LakeSediment,Dd,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
LS12THAY.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS12THAY.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS12THAY.lpd,LakeSediment,Dd,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
LS12THAY.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS12THAY.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS12THAY.lpd,LakeSediment,Dd,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
LS12THAY.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS12THAY.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS12THAY.lpd,LakeSediment,Dd,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
LS12THAY.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS12THAY.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS12THAY.lpd,LakeSediment,Dd,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
LS12THAY.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS12THAY.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS12WOQU.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS12WOQU.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS12WOQU.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS12WOQU.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,Precipitation Isotope,NA,NA,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS13BAFL.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,Precipitation Isotope,Air Surface,Precipitation Isotope,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,Precipitation Isotope,NA,NA,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS13BAFL.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
LS13KOLA.lpd,LakeSediment,Dd,permil,NA,NA,NA,NA
LS13KOLA.lpd,LakeSediment,Dd,permil,Precipitation Isotope,NA,NA,NA
LS13KOLA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS13LUBA.lpd,LakeSediment,D18O,permil,NA,NA,NA,NA
LS13LUBA.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS13LUBA.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS13STEL.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS13STEL.lpd,LakeSediment,D18O,permil,Precipitation And Evaporation,NA,NA,NA
LS13STEL.lpd,LakeSediment,D18O,permil,Water Temperature,NA,NA,NA
LS13STEL.lpd,LakeSediment,D18O,permil,Relative Humidity,NA,NA,NA
LS13STEL.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS13WASU.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS13WASU.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS13WASU.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS13WASU.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS13WASU.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS13WASU.lpd,LakeSediment,Dd,permil,Precipitation And Evaporation,Air Surface,Precipitation And Evaporation,NA
LS13YUSA.lpd,LakeSediment,NA,cm,NA,NA,NA,NA
LS14ATJU.lpd,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
