authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Sepp Kipfstuhl,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Luke D. Trusel,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Françoise Vimeux,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Louise Fleet,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Carol Arrowsmith,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
R. H. Rhodes,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
N. A. N. Bertler,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
J. A. Baker,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
H. C. Steen-Larsen,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
S. B. Sneed,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
U. Morgenstern,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
S. J. Johnsen,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Pages 2K Consortium,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
E. Mosley-Thompson,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
L. Thompson,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
P. M. Grootes,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
N. Gundestrup,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
W. Graf,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
H. Oerter,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
O. Reinwarth,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
W. Stichler,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
F. Wilhelms,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
H. Miller,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
R. Mulvaney,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
W. Graf,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
H. Oerter,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
O. Reinwarth,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
W. Stichler,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
F. Wilhelms,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
H. Miller,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
R. Mulvaney,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
W. Graf,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
H. Oerter,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
O. Reinwarth,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
W. Stichler,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
F. Wilhelms,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
H. Miller,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
R. Mulvaney,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
B. Stenni,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
D. Buiron,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
M. Frezzotti,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
S. Albani,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
C. Barbante,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
E. Bard,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
J. M. Barnola,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
M. Baroni,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
M. Baumgartner,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
M. Bonazza,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
E. Capron,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
E. Castellano,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
J. Chappellaz,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
B. Delmonte,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
S. Falourd,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
L. Genoni,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
P. Iacumin,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
