coordinates,publication,filename,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[83.73, 28.77, 2500]",PAGES2kv2,Asi-BURGPW.PAGES2k.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[92, 29.35, 2900]",PAGES2kv2,Asi-CENTIB.PAGES2k.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[110.08, 34.48, 4050]",PAGES2kv2,Asi-CHIN004.Wu.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.08, 37, 100]",PAGES2kv2,Asi-CHIN005.Sheppard.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.08, 36.3, 1750]",PAGES2kv2,Asi-CHIN006.Sheppard.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[101.92, 31.78, 3900]",PAGES2kv2,Asi-CHIN016.Li.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[99.75, 28.9, 3500]",PAGES2kv2,Asi-CHIN017.Li.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[100.08, 29.28, 2150]",PAGES2kv2,Asi-CHIN018.Li.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[99.93, 29.15, 2150]",PAGES2kv2,Asi-CHIN019.Li.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[100.27, 30.23, 2150]",PAGES2kv2,Asi-CHIN020.Li.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[99.93, 28.98, 2150]",PAGES2kv2,Asi-CHIN021.Li.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[99.8, 27.62, 2900]",PAGES2kv2,Asi-CHIN026.Wright.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[93.3, 43.85, 4150]",PAGES2kv2,Asi-CHIN029.Krusic.2010.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[99.35, 27.58, 100]",PAGES2kv2,Asi-CHIN037.Fan.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[99.28, 27.58, 4100]",PAGES2kv2,Asi-CHIN038.Fan.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[99.02, 28.03, 3400]",PAGES2kv2,Asi-CHIN039.Fan.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.98, 28.03, 3500]",PAGES2kv2,Asi-CHIN040.Fan.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.4, 27.88, 2900]",PAGES2kv2,Asi-CHIN041.Fan.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.87, 31.95, 3300]",PAGES2kv2,Asi-CHIN042.Brauning.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[91.97, 29.3, 3900]",PAGES2kv2,Asi-CHIN043.Brauning.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[93.95, 29.07, 2400]",PAGES2kv2,Asi-CHIN044.Brauning.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[94.67, 29.62, 2300]",PAGES2kv2,Asi-CHIN045.Brauning.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[97.03, 31.12, 3150]",PAGES2kv2,Asi-CHIN046.Brauning.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[97.03, 31.12, 2500]",PAGES2kv2,Asi-CHIN047.Brauning.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[91.52, 30.3, 700]",PAGES2kv2,Asi-CHIN048.Brauning.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[96.48, 31.23, 3500]",PAGES2kv2,Asi-CHIN049.Brauning.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[97.23, 37.47, 6700]",PAGES2kv2,Asi-CHIN050.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[97.22, 37.47, 3000]",PAGES2kv2,Asi-CHIN051.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[97.53, 37.45, 2060]",PAGES2kv2,Asi-CHIN052.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.05, 37.43, 4600]",PAGES2kv2,Asi-CHIN053.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[97.78, 37.45, 2810]",PAGES2kv2,Asi-CHIN054.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[97.05, 37.52, 100]",PAGES2kv2,Asi-CHIN055.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[110.08, 34.47, 4900]",PAGES2kv2,Asi-CHIN056.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[110.08, 34.47, 4900]",PAGES2kv2,Asi-CHIN057.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[110.08, 34.47, 3950]",PAGES2kv2,Asi-CHIN058.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[96.13, 33.8, 3400]",PAGES2kv2,Asi-CHIN059.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.4, 37.32, 3980]",PAGES2kv2,Asi-CHIN060.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.63, 37.03, 2500]",PAGES2kv2,Asi-CHIN061.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.67, 37.03, 3700]",PAGES2kv2,Asi-CHIN062.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.22, 36.75, 3040]",PAGES2kv2,Asi-CHIN063.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[98.42, 36.68, 3000]",PAGES2kv2,Asi-CHIN064.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
"[95.72, 32.67, 4500]",PAGES2kv2,Asi-CHIN065.Shao.2013.lpd,tree,measured,NA,Tree Ring Standardized Growth Index,NA,1,NA,Air Surface,NA,NA
