publication,filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
PAGES2kv2,Asi-CHIN050.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN051.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN052.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN053.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN054.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN055.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN056.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN057.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN058.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN059.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN060.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN061.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN062.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN063.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN064.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN065.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-CHIN066.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-Dasuopu.Thompson.2000.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Asi-Dasuopu.Thompson.2000.lpd,glacier ice,measured,Dust,permil,1,P,NA,NA,NA
PAGES2kv2,Asi-Dasuopu.Thompson.2000.lpd,glacier ice,measured,Chloride,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-Dasuopu.Thompson.2000.lpd,glacier ice,measured,Nitrate,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-Dasuopu.Thompson.2000.lpd,glacier ice,measured,Sulfate,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-DEZQIN.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-DQHZHO.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-DUSHJP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-ENEPAB.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-ESPERG.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-ESPPAK.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-GANGCD.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-GHEGAN.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-GOUQIN.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-Guliya.Thompson.1997.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,degC
PAGES2kv2,Asi-Guliya.Thompson.1997.lpd,glacier ice,measured,Dust,count/mL,NA,NA,NA,NA,NA
PAGES2kv2,Asi-Guliya.Thompson.1997.lpd,glacier ice,measured,Chloride,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-Guliya.Thompson.1997.lpd,glacier ice,measured,Sulfate,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-Guliya.Thompson.1997.lpd,glacier ice,measured,Nitrate,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-HBHXJP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-HBLXJP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-HBMXJP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-HEBQIN.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-HRPCSM.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-Hushre.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-HXBURU.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
PAGES2kv2,Asi-HYGJUP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,degC
