filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
GeoB12605-3.Kuhnert.2014.lpd,marine sediment,measured,D18O,per mil,1,Temperature,Sea Surface,Sea Surface Temperature,deg C
GeoB12605-3.Kuhnert.2014.lpd,marine sediment,measured,Mg/Ca,mmol/mol,1,Temperature,Sea Surface,Sea Surface Temperature,deg C
Eur-CentralEurope.Dobrovolný.2009.lpd,documents,measured,Ghostmeasured,NotApplicable,NA,NA,NA,NA,NA
Ocn-Mayotte.Zinke.2008.lpd,coral,measured,D18O,permil,1,Temperature,Sea Surface,Sea Surface Temperature,deg C
Ocn-Mayotte.Zinke.2008.lpd,coral,measured,D13C,permil,NA,NA,NA,NA,NA
Asi-SHIYAT.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-DanaPlateauInyoNationalForest.King.2000.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
Arc-Crete.Vinther.2010.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
Arc-Dye.Vinther.2010.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
Juxtlahuaca.Lachniet.2012.lpd,speleothem,measured,Distance,mm,NA,NA,NA,NA,NA
Juxtlahuaca.Lachniet.2012.lpd,speleothem,measured,D18O,per mil VPDB,NA,NA,NA,NA,NA
Juxtlahuaca.Lachniet.2012.lpd,speleothem,measured,D18O,per mil VPDB,NA,NA,NA,NA,NA
Arc-GISP2.Grootes.1997.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
Ant-TaylorDome.Steig.2000.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
Asi-NOGSAK.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-Hilda.Kavanagh.2000.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
Ocn-UrvinaBay.Dunbar.1994.lpd,coral,measured,D18O,permil,1,Temperature,Sea Surface,Sea Surface Temperature,deg C
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-HartsPassN2.Peterson.1994.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
Asi-UULMND.Schweingruber.2002.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Asi-CHIN048.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Asi-MONG015.Jacoby.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Ocn-GulfofMaine.Wanamaker.2007.lpd,bivalve,measured,D18O,permil,1,Temperature,Sea Surface,Sea Surface Temperature,deg C
