publication,filename,archiveType,variableType,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
PAGES2kv2,Ocn-AlboranSea436B.Nieto-Moreno.2013.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-ArabianSea.Doose-Rolinski.2001.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-CapeGhir.Doose-Rolinski.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-CapeGhir.McGregor.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-CapeHatteras.Cleroux.2008.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-CariacoBasin.Black.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-CariacoBasin.Lea.2003.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-CH07-98-MC-22.Saenger.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-ChileanMargin.Lamy.2002.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-DryTortugas.Lund.2006.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-DryTortugasA.Lund.2006.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-EasternTropicalNorthAtlantic.Kuhnert.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-EmeraldBasin.Keigwin.2003.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-EmeraldBasin.Keigwin.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-FeniDrift.Richter.2009.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-FiskBasin.Richey.2009.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-GarrisonBasin.Richey.2009.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-GreatBahamaBank.Lund.2006.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-GreatBahamaBank.Richter.2006.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-GreatBarrierReef.Hendy.2002.lpd,coral,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-GulfofGuinea.Weldeab.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-JacafFjord.Seplveda.2009.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-KNR140259GGC.Saenger.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-KuroshioCurrent.Isono.2009.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-LaurentianFan.Keigwin.2005.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-MakassarStrait.Linsley.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-MakassarStrait.Oppo.2009.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-MD95-2011.Grimalt.2002.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-MD98-2160.Newton.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-MD98-2177.Newton.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-NorthIceland.Sicre.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-NorthwestPacificOcean.Harada.2004.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-ODP984.Came.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-OkinawaTrough.Wu.2012.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-Philippines.Stott.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-RAPiD-12-1K.Thornalley.2009.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-SantaBarbaraBasin.Zhao.2000.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-SouthAtlanticWestAfrica.Leduc.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-SouthChinaSea.Zhao.2006.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-SouthernChileMargin.Mohtadi.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-SouthIceland.Sicre.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-SubTropicalEasternNorthAtlantic.deMenocal.2000.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-SWCoastOfIndia.Saraswat.2013.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-TagusMudPatch.Abrantes.2005.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-WEqPacific.Stott.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-WesternAntarcticPeninsula.Shevenell.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,Ocn-WestSpitzberg.Bonnet.2010.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,lake sediment,inferred,Temperature,Air,Temperature,degC,1
PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,lake sediment,inferred,Temperature,Air,Temperature,degC,1
PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,lake sediment,inferred,Temperature,Air,Temperature,degC,1
PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,lake sediment,inferred,Temperature,Air,Temperature,degC,1
PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,lake sediment,inferred,Temperature,Air,uncertainty_temperature,degC,1
PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,lake sediment,inferred,Temperature,Air,uncertainty_temperature,degC,1
PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,161_976.Martrat.2014.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,165_1002C.Herbert.2000.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,AdelaideTarn.Jara.2015.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,AdelaideTarn.Jara.2015.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,Agassiz.Lecavalier.2017.lpd,GlacierIce,inferred,NA,NA,meltUncertaintyHigh,percent,NA
Temp12k1_0_1,Agassiz.Lecavalier.2017.lpd,GlacierIce,inferred,NA,NA,meltUncertaintyLow,percent,NA
Temp12k1_0_1,Ammersee.vonGrafenstein.1996.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,AwengCo.Li.2017.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,AwengCo.Li.2017.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,AwengCo.Li.2017.lpd,LakeSediment,inferred,Temperature,NA,tempErrorPlus,degC,1
Temp12k1_0_1,AwengCo.Li.2017.lpd,LakeSediment,inferred,NA,NA,uncertainty.temperature,degC,NA
Temp12k1_0_1,BloodPond.Marsicek.2013.lpd,LakeSediment,inferred,M,Precipitation Surface,precipitation,mm,1
Temp12k1_0_1,BrayaSo.vonGunten.2012.lpd,LakeSediment,inferred,NA,NA,Year,year ce,NA
Temp12k1_0_1,BrayaSo.vonGunten.2012.lpd,LakeSediment,inferred,Temperature,Lake Surface,Temperature,degC,1
Temp12k1_0_1,BrayaSo.vonGunten.2012.lpd,LakeSediment,inferred,NA,NA,uncertainty.temperature,degC,NA
Temp12k1_0_1,BrayaSo.vonGunten.2012.lpd,LakeSediment,inferred,NA,NA,uncertainty.temperature,degC,NA
Temp12k1_0_1,BrayaSo.vonGunten.2012.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,CandelabraLake.Cwynar.1995.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,CC04.Gibb.2015.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,CC04.Gibb.2015.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,CC04.Gibb.2015.lpd,MarineSediment,inferred,Temperature,Sea Surface,temperatureComposite,degC,1
Temp12k1_0_1,CF8.Axford.2011.lpd,LakeSediment,inferred,NA,NA,nonReliableTemperature 1,degC,NA
Temp12k1_0_1,ChallaLake.Damst.2012.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,CN01.Cheung.2017.lpd,Peat,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,CN01.Cheung.2017.lpd,Peat,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,DajiuhuPeatland.Huang.2013.lpd,Peat,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,DajiuhuPeatland.Huang.2013.lpd,Peat,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,DANA12_11_2_GC01.VanNieuwenhove.2018.lpd,MarineSediment,inferred,NA,NA,Temperature,degC,NA
Temp12k1_0_1,DANA12_11_2_GC01.VanNieuwenhove.2018.lpd,MarineSediment,inferred,NA,NA,Temperature,degC,NA
Temp12k1_0_1,DANA12_11_2_GC01.VanNieuwenhove.2018.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
